query,region,title,excerpt,date,source,link
semiconductor,china,Traders' body CAIT protests after Chinese JV bids for 44 Vande Bharat trains,"The tender is for procuring propulsion systems or electric traction kits for 44 trains to function as the Vande Bharat Express or Train 18.
The global tender worth around Rs 1500 crore was floated on December 22 last year by the Integral Coach Factory (ICF), Chennai, and was opened on Friday.
Floated under the Make in India initiative, the tender was for the supply of electrical equipment and other items for 44 train sets of 16 coaches each.
Major players like Bombardier, Alstom, Siemens, CAF, Talgo and Mitsubishi did not participate in the bids.
Also Read: Tesla CEO Elon Musk's net worth surpasses Warren Buffett'sAlso Read: Coronavirus impact: Zomato reinstates salaries; aims to make complete recovery in 3-6 months",2020-7-11,Business Today,https://www.businesstoday.in/latest/economy-politics/story/traders-body-cait-protests-after-chinese-jv-bids-for-44-vande-bharat-trains-263744-2020-07-11
semiconductor,china,China Likely to Remain Top International Patent Filer in 2020,"In 2019, China displaced the U.S. as top Patent Cooperation Treaty (PCT) user and looks likely to remain the top user in 2020.
For the first half of 2020, China, as receiving office (RO) for the PCT, received 29,548 international PCT applications.
Annualized, this would be 59,096 PCT applications for the full year.
Note, there are no main IP indicators for patent quality in the main indicators chart above.
The 14th 5-year plan is currently under consideration though so perhaps patent quality will be one of the future indicators",2020-7-11,National Law Review,https://www.natlawreview.com/article/china-2020-h1-patent-data-indicates-china-likely-to-remain-top-international-filer
semiconductor,china,China's Next Trillion-Dollar War Is Over 5G Manufacturing,"Why did this happen?
Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading.
For more information you can review our Terms of Service and Cookie Policy",2020-7-12,Bloomberg.com,https://www.bloomberg.com/opinion/articles/2020-07-12/china-s-next-trillion-dollar-war-is-over-5g-manufacturing
semiconductor,china,China's market euphoria trumps political risk in Hong Kong,"But Chinese investors and brokerages say they are increasingly drawn by Hong Kong shares, whose gains have been more modest.
“Buy more Hong Kong stocks.
New York-listed Alibaba 9988.HKBABA.N, which completed its Hong Kong listing last year, could get the greenlight to enter the benchmark Hang Seng Index .HSI next month.
Net mainland purchases of Hong Kong stocks under connect totaled HK$300 billion ($38.71 billion) during the first six months, exceeding last year’s total.
“We expect to see growing pricing power by mainland investors in the Hong Kong market.”($1 = 7.7500 Hong Kong dollars)",2020-7-8,Reuters,https://www.reuters.com/article/us-china-markets-hongkong-idUSKBN24A0ME
semiconductor,china,China's state chip fund to cut stakes in two more tech companies,"SHANGHAI (Reuters) - China’s largest state-backed semiconductor fund plans to reduce its holdings in two listed technology companies, a decision that comes following a torrid bull run in China’s stock market.
The stake reduction is part of a previously announced plan to cut holdings by 2% by Jan. 4, 2021, according to the statement.
NAURA Technology Group Co Ltd 002371.SZ also said in a filing that the 'Big Fund' will reduce 2% in the company over the next six months.
The fund currently holds 49,31,000 million shares in the company and is its third-largest shareholder.
The share sales follow similar ones on Friday, when Shenzhen Goodix Technology Co 603160.SS, Wuxi Taiji Industry Co 600667.SS and Beijing BDStar Navigation Co 002151.SZ said the 'Big Fund' would reduce its stake in the companies",2020-7-13,Reuters,https://www.reuters.com/article/us-china-fund-sharesale-idUSKCN24F08O
semiconductor,china,BASF weathers auto slump with better-than-expected earnings,"Ludwigshafen: BASF SE gave an early glimpse of second-quarter operating results that it says were better than investors expected despite the steep slump in demand from auto companies, its most important customer industry.Earnings before interest, taxes and some items for the period will be about 226 million euros ($255 million), the world’s biggest chemical maker said in a statement.
That’s better than analysts’ average estimate for 146 million euros, according to a consensus compiled by the company.BASF’s net loss will be worse than market expectations mainly because of a roughly 800 million-euro impairment at its Wintershall-DEA subsidiary related to slumping oil and gas prices.Europe’s auto industry is facing a historic slump with sales expected to contract a record 25% this year.
At BASF, demand from industries including nutrition and personal care are helping soften the blow, as is stable profit in its agricultural products business.BASF’s stock reversed earlier losses and traded 0.1% higher at 49.67 euros as of 4 p.m. Friday in Frankfurt.
It is down 26% this year, for a market value of 46 billion euros.
The company will publish a full set of second-quarter figures on July 29.Revenue in the three months through June fell about 12% to 12.7 billion euros, BASF said, beating the average estimate for 11.8 billion euros",2020-7-11,ET Auto,https://auto.economictimes.indiatimes.com/news/auto-components/basf-weathers-auto-slump-with-better-than-expected-earnings/76908572
semiconductor,china,Boris Johnson set to curb Huawei role in UK’s 5G networks,"Make informed decisions with the FTKeep abreast of significant corporate, financial and political developments around the world.
Stay informed and spot emerging risks and opportunities with independent global reporting, expert commentary and analysis you can trust",2020-7-12,Financial Times,https://www.ft.com/content/e4b7f816-00cc-4dc5-bb97-4e761200022a
semiconductor,china,Challenges facing Taiwan's semiconductor industry,"TAIPEI (Taiwan News) — Taiwan’s tech sector is well-positioned in the world post-coronavirus, but challenges lie ahead in terms of its reliance on both the U.S and China, according to an economist at Singapore-based DBS Bank.
Challenges remain, though, stemming from heightened nationalism and protectionism, manifested by U.S.-China tech tensions.
In May, Washington slapped new sanctions on Chinese tech giant Huawei, which require foreign semiconductor manufacturers to obtain approval from U.S. authorities before shipping semiconductors to the Chinese company for products that use Huawei designs and U.S. technology.
Due to the restrictions, TSMC was reported to have halted orders from Huawei, its second-largest client.
For the longer term, the economist cautions that Taiwan’s competitive advantage could be undermined as the world’s two largest economies compete to invest in their own semiconductor capacity",2020-7-8,Taiwan News,https://www.taiwannews.com.tw/en/news/3962573
semiconductor,china,"What goes up, and up and up Why SMIC is surging","T IMES SEEM tough for China’s chipmaking champion, the Semiconductor Manufacturing International Corporation ( SMIC ).
It has slapped export controls on SMIC ’s customers and enacted new rules which threaten to designate the firm as subservient to the People’s Liberation Army.
You might reasonably conclude that limp revenues and American ire would be a drag on SMIC ’s share price.
The answers lie in SMIC ’s status as China’s best hope of building a domestic semiconductor industry.
Investors who put assumptions about a company’s long-term success over its short-term performance may view the American government’s attention as a signal of SMIC ’s potential",2020-7-9,The Economist,https://www.economist.com/business/2020/07/09/why-smic-is-surging
semiconductor,china,"Nikkei drops on profit-taking, semiconductor stocks slump","TOKYO, July 14 (Reuters) - Japanese shares ended lower on Tuesday as investors booked profits after a sharp gain in the previous session, while semiconductor and other high-tech firms’ stocks took a hit following overnight weakness in U.S. peers on Nasdaq.
The benchmark Nikkei share average slipped 0.87% to close at 22,587.01, after hitting a one-month high in the previous session.
In the broader market, Topix fell 0.5% to 1,565.15, following a 2.46% jump in the previous session.
Advantest Corp slipped 2.43%, while Screen Holdings Co Ltd and Tokyo Electron Ltd fell 2.41% and 1.45%, respectively.
Sony Corp dropped 1.98%, after reaching its highest level since 2001 in the previous session",2020-7-13,Reuters,https://www.reuters.com/article/japan-stocks-close-idUSL3N2EL1KJ
