query,region,title,excerpt,date,source,link
semiconductor,china,Intel to invest $20 billion in European chip plants,"As the jostling for global semiconductor production power intensifies, with China looking to play an increasingly influential role, Intel is spreading its wings and seeking to lay down roots in key areas of demand.
China is already globally proficient in 28nm chip technology and is absolutely determined to cash-in on 14nm semiconductors.
Hence the news that Intel is to invest US$20 billion over 10 years in constructing semiconductor fabrication plants (fabs) and other supporting facilities across Europe.
If successful, in due course, the building spree will continue, and the value of Intel’s investment could rise to $100 billion in the long-term.
Among the countries included in his tour were Belgium, France, Italy, Germany, Ireland, the Netherlands and the UK",2021-08-31,TelecomTV,https://www.telecomtv.com/content/digital-platforms-services/intel-to-invest-20-billion-in-european-chip-plants-41956/
semiconductor,china,Why US-China Rivalry Might Be Good for Singapore's ...,"It’s about diversifying global supply chains as geopolitical competition between the U.S. and China heats up.
As Caulfield notes, Taiwan has dominated semiconductor manufacturing for quite a while, with companies like TSCM being the main suppliers for Apple and other huge global brands.
Chartered Semiconductor was meant to help turn Singapore into a global manufacturing hub for semiconductors and computer components and for a while things were going pretty well.
It was a shrewd time to exit, as the electronic and computer component manufacturing industry in Singapore remained moribund for several more years.
I expect we will see more reshuffling of global supply chains like this in the future where countries like Singapore with the right infrastructure, regulatory architecture, and other factor endowments will stand to benefit significantly",2021-08-31,The Diplomat,https://thediplomat.com/2021/07/why-us-china-rivalry-might-be-good-for-singapores-semiconductor-industry/
semiconductor,china,U.K. Sold Off $42 Billion of Semiconductor Firms Before Review,"Why did this happen?
Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading.
For more information you can review our Terms of Service and Cookie Policy",2021-08-31,Bloomberg.com,https://www.bloomberg.com/news/articles/2021-07-11/u-k-sold-off-42-billion-of-semiconductor-firms-before-review
semiconductor,china,Tencent makes foray into semiconductor chip business,"Tencent's foray means that all three giants in China's digital economy - Baidu, Alibaba and Tencent, known as BAT - are now involved in the business.Search giant Baidu was the earliest entrant into the chip sector among the three.
It spun off its chip unit Kunlun as an independent company with a valuation of 13 billion yuan ($2 billion).
Kunlun chips are designed to optimize AI workloads and improve cloud computing's cost structure.Alibaba launched its Pingtouge chip division in 2018.
The next year, it came out with its first AI chip, called Hanguang 800, intended for use in its own cloud computing system.
The competition has recently intensified amid a global shortage of chips and US restrictions on chip supplies, analysts said",2021-08-31,Global Times,https://www.globaltimes.cn/page/202107/1228798.shtml
semiconductor,china,What is semiconductor sovereignty worth?,"For the EU and US, this growth is a means to reach semiconductor sovereignty, while Asia pushes to continue its current dominance in chip manufacturing and advance its chip technology.
Taiwan dominates advanced semiconductor manufacturing as home of the world’s largest chip foundry, TSMC.
China imports USD 300 billion worth of semiconductors and is experiencing ongoing pushback in its chip manufacturing.
This alliance has the potential to bring companies together to fund the efforts to increase EU semiconductor market share to 20% by 2030 (it currently holds 10% of the market).
Reports state that USD 42 billion worth of the UK's semiconductor business has been sold since 2010.The worldwide reliance on chip manufacturing continues to grow as consumer demand increases amid advancements in technology",2021-08-31,Evertiq,https://evertiq.com/news/50318
semiconductor,china,"TSMC, Foxconn say they are in process of signing deal for ...","TAIPEI (Reuters) -- Taiwan's TSMC and Foxconn said on Sunday they were in the middle of the contract signing process to buy COVID-19 vaccines from Germany's BioNTech SE, part of a drawn out and highly politicized process for Taiwan to access the shot.
We are in the middle of the contract signing process.
We will make announcements once the process is completed,"" TSMC said a statement.
The BioNTech vaccine drama has transfixed Taiwan and dominated headlines.
Germany's government has also been involved, saying it has been helping in the direct talks between Taiwan and BioNTech",2021-08-31,Nikkei Asia,https://asia.nikkei.com/Spotlight/Coronavirus/COVID-vaccines/TSMC-Foxconn-say-they-are-in-process-of-signing-deal-for-BioNTech-vaccines
semiconductor,china,Chinese semiconductor giant Tsinghua Unigroup faces ...,"Chinese semiconductor giant Tsinghua Unigroup faces bankruptcy. But the 
business is expected to survive thanks to its crucial role in China's 
semiconductor ",2021-08-31,Data Center Dynamics,https://www.datacenterdynamics.com/en/news/chinese-semiconductor-giant-tsinghua-unigroup-faces-bankruptcy/
semiconductor,china,China’s semiconductor imports surge in June amid global shortage,"China imported more than 310 billion semiconductor devices in the first half of this year, up 29 per cent from a year ago.
Photo: Shutterstock",2021-08-31,South China Morning Post,https://www.scmp.com/tech/big-tech/article/3140960/chinas-chip-imports-soar-june-manufacturers-build-supply-amid-global
semiconductor,china,China's automobiles sales drop amid shortage of car chips,"The historic chip shortage has crimped production for automakers around the world, including some in China, the group said.
Japanese carmakers were among the hardest hit by the chip shortage last month.
Nissan Motor Co.'s China sales were down 16 per cent in June from a year earlier, while Honda Motor Co.'s were off 17 per cent.
Nikkie Asia reported that until now, the global chip crunch had only a limited impact on the Chinese auto market.
However, the global chip shortage persisted longer than predicted, and the impact is starting to creep into Chinese automaking",2021-08-31,ANI News,https://www.aninews.in/news/world/asia/chinas-automobiles-sales-drop-amid-shortage-of-car-chips20210710125217
semiconductor,china,TSMC chairman says nobody wants war over Taiwan as chip ...,"The logo of Taiwan Semiconductor Manufacturing Co (TSMC) is pictured at its headquarters, in Hsinchu, Taiwan, Jan. 19, 2021.
REUTERS/Ann WangTAIPEI, July 15 (Reuters) - Nobody wants to see a war over Taiwan because nobody wants to disrupt the crucial global supply chain of semiconductors, the chairman of major chipmaker TSMC (2330.TW), said on Thursday, in unusually direct comments about geopolitics.
Mark Liu, Taiwan Semiconductor Manufacturing Co Ltd's chairman, told an earnings call that the COVID-19 pandemic has already been disruptive enough for the global economy and no country wants to see instability around Taiwan.
""As to an invasion by China, let me tell you everybody wants to have a peaceful Taiwan Strait.
Because it is to every country's benefit, but also because of the semiconductor supply chain in Taiwan - no one wants to disrupt it.""",2021-08-31,Reuters,https://www.reuters.com/world/asia-pacific/tsmc-chairman-says-nobody-wants-war-over-taiwan-chip-supplies-too-valuable-2021-07-15/
semiconductor,china,Can The U.S. Compete For Chip Dominance?,"The Taiwan Semiconductor Manufacturing Company (TSMC) alone is ... which 
has long been a flash point for geopolitical tension between the U.S. and 
China",2021-08-31,Forbes,https://www.forbes.com/sites/randybrown/2021/07/14/can-the-us-compete-for-chip-dominance/
