query,region,title,excerpt,date,source,link
semiconductor,china,"Trump administration pressed Dutch hard to cancel China chip-equipment 
sale: sources","The U.S. campaign began in 2018, after the Dutch government gave 
semiconductor equipment company ASML, the global leader in a critical 
chip-making process known ",2020-1-5,Reuters,https://www.reuters.com/article/us-asml-holding-usa-china-insight-idUSKBN1Z50HN
semiconductor,china,"China trade truce is seen as 'fragile' with analysts still seeing more 
tariffs as a possibility","Semiconductor stocks, caught in middle of the trade war, are also sharply 
higher since then, with the VanEck Vectors Semiconductors ETF up more than 
18%",2020-1-15,CNBC,https://www.cnbc.com/2020/01/15/china-trade-truce-is-seen-as-fragile-with-analysts-still-seeing-more-tariffs-as-a-possibility.html
semiconductor,china,"China Pledges To Buy $200 Billion Of American Goods Under Phase One Trade 
Deal"," medical devices and semiconductors. China will also buy over $50 
billion more in energy supplies and around $35 billion more of U.S. 
services",2020-1-14,Forbes,https://www.forbes.com/sites/sergeiklebnikov/2020/01/14/china-pledges-to-buy-200-billion-of-american-goods-under-phase-one-trade-deal/
semiconductor,china,"China to ramp up U.S. buys under trade deal, but skeptics question targets","WASHINGTON (Reuters) - China has pledged to buy almost $80 billion of 
additional ... aircraft, agricultural machinery, medical devices and 
semiconductors, ",2020-1-13,Reuters,https://www.reuters.com/article/us-usa-trade-china-idUSKBN1ZD0FN
semiconductor,china,Exclusive: Washington pressures TSMC to make chips in US,"TAIPEI -- Washington has upped the pressure on Taiwan Semiconductor ... to 
press the White House to act over China's technological and military 
buildup",2020-1-15,Nikkei Asia,https://asia.nikkei.com/Business/Technology/Exclusive-Washington-pressures-TSMC-to-make-chips-in-US
semiconductor,china,Taiwan: Tsai re-election adds to Mainland China’s tech war woes," will continue to make it difficult for Chinese technology companies to 
do business with Taiwan tech firms on the most advanced semiconductor 
products",2020-1-13,ING Think,https://think.ing.com/articles/taiwan-tsai-reelection-adds-to-mainland-chinas-tech-war-woes/
semiconductor,china,Chipmaker TSMC says ready for potential new US export controls,"Taiwan Semiconductor Manufacturing, the world's largest contract ... 
further restrict supplies to Chinese telecom gear maker Huawei and thwart 
China's rise ",2020-1-15,Financial Times,https://www.ft.com/content/0be9ed74-3825-11ea-a6d3-9a26f8c3cba4
semiconductor,china,Trump’s China Deal Creates Collateral Damage for Tech Firms,"Trump set out to protect. “Let's be clear, the trade war has been very bad 
for the semiconductor industry in several ways,” said Robert D. Atkinson, 
president ",2020-1-20,The New York Times,https://www.nytimes.com/2020/01/20/business/economy/trump-us-china-deal-micron-trade-war.html
semiconductor,china,US tech backlash forces China to be more self-sufficient,"The acrimony between China and the US over technology transfers has created 
... “The Chinese are scouring the world for non-US semiconductor 
technologies to ",2020-1-14,Financial Times,https://www.ft.com/content/c6993200-1ff3-11ea-b8a1-584213ee7b2b
semiconductor,china,"How the Re-Election of Taiwan’s President, a China Critic, Could Reshape 
Asia’s Economic Landscape","Over the weekend, millions in Taiwan opted to reject Mainland China's 
economic ... which sells semiconductor chips to China's booming electronics 
market",2020-1-13,Fortune,https://fortune.com/2020/01/13/taiwan-election-tsai-ingwen-china-economy-asia/
