date,excerpt,link,query,region,source,title
17 Mar 2020,"The crystal structure at the surface of semiconductor materials can make them behave like metals and even like superconductors, a joint Swansea/Rostock research team has shown. The discovery potentially opens the door to advances like more energy-efficient electronic devices.",https://www.sciencedaily.com/releases/2020/03/200317103838.htm,semiconductor,UK,Science Daily,Semiconductors can behave like metals and even like superconductors - Science Daily
27 Mar 2020,"The COVID-19 outbreak is now travelling around the world, leaving a trail of destruction in its wake. Inevitably the virus has had an effect on leading companies in the semiconductors sector.
",https://www.verdict.co.uk/semiconductor/,semiconductor,UK,Verdict,Semiconductor demand slow down could help China in the long term - Verdict
23 Mar 2020,"Metal-organic frameworks (MOFs) are emerging multi-functional materials that are gradually finding their way out of the research labs and into a myriad of real-world applications. For example, MOFs can store dangerous gasses, catalyze chemical reactions, deliver drugs in controlled fashion, and may even be used in rechargeable batteries and solar cells.",https://www.sciencedaily.com/releases/2020/03/200323125558.htm,semiconductor,UK,Science Daily,Novel MOF is potential next-gen semiconductor - Science Daily
05 Mar 2020,"
",https://www.businesswire.com/news/home/20200305005043/en/ON-Semiconductor-Names-2019-Distribution-Partner-Award-Winners,semiconductor,UK,Business Wire,ON Semiconductor Names 2019 Distribution Partner Award Winners - Business Wire
02 Mar 2020,"



    ",https://www.globenewswire.com/news-release/2020/03/02/1993314/0/en/Semiconductor-Market-to-Reach-USD-730-29-billion-by-2026-Growing-Adoption-of-Electronics-to-Augment-Growth-states-Fortune-Business-Insights.html,semiconductor,UK,GlobeNewswire,Semiconductor Market to Reach USD 730.29 billion by 2026; - GlobeNewswire
04 Mar 2020,DUBLIN--(,https://www.businesswire.com/news/home/20200304005449/en/Gallium-Arsenide-Next-Generation-Semiconductors-Market-Expected-to-Grow-to-22-Billion-by-2026---ResearchAndMarkets.com,semiconductor,UK,Business Wire,Gallium Arsenide Next Generation Semiconductors Market Expected to Grow to $22 Billion by 2026 - ResearchAndMarkets.com - Business Wire
18 Mar 2020,"'U.S. data center and enterprise markets will actually do better than the consumer-facing markets that are being slowed by travel bans, closure of retail stores and quarantines around the world,' says IDC researcher Mario Morales, who outlined four potential scenarios for the semiconductor industry this year. ",https://www.crn.com/news/components-peripherals/idc-significant-contraction-for-global-semiconductor-sales-likely,semiconductor,UK,CRN: Technology news for channel partners and solution providers,IDC: 'Significant Contraction' For Global Semiconductor Sales Likely - CRN: Technology news for channel partners and solution providers
06 Mar 2020,,https://www.bizjournals.com/phoenix/news/2020/03/06/avnet-on-semiconductor-expect-financial-turbulence.html,semiconductor,UK,Phoenix Business Journal,"Avnet, On Semiconductor expect financial issues over coronavirus - Phoenix Business Journal - Phoenix Business Journal"
24 Mar 2020,Sign Up to Our Free Weekly E-Brief,http://www.semiconductor-today.com/news_items/2020/mar/csa-catapult-240320.shtml,semiconductor,UK,Semiconductor Today,CSA Catapult in Newport to coordinate Materials and Components aspects of UK's DER Industrialisation Centres - Semiconductor Today
24 Mar 2020,"
",https://www.businesswire.com/news/home/20200324005638/en/ON-Semiconductor-Draws-Down-1.17-Billion-From-Its-Revolving-Credit-Facility,semiconductor,UK,Business Wire,ON Semiconductor Draws Down $1.17 Billion From Its Revolving Credit Facility - Business Wire
