title,excerpt,source,date
"U.S. chip start-up says its work with UK’s biggest plant came to a 
‘screeching halt’ after Chinese takeover","Ideal Semiconductor was getting silicon wafers processed at the Newport 
Wafer Fab in Wales up until the fab was acquired by Chinese-owned ...",CNBC,14 Aug 2021
Water With Your Chips? Semiconductors and Water Scarcity in China,Semiconductors are particularly thirsty.,The Diplomat,14 Aug 2021
These Semiconductor Stocks Can Fly Higher This Week (and Beyond),"Strong earnings reports from these high-flying tech stocks can lead to more 
upside.",The Motley Fool,16 Aug 2021
"One key indicator for the SMH semiconductor ETF just flashed an ominous 
signal, trader warns","One popular semiconductor ETF could be headed for a pullback after a ""death 
cross"" in a key momentum indicator, says Miller Tabak's Matt ...",CNBC,14 Aug 2021
"E-recruitment drive to seek high-level talents from Malaysia for Taiwan's 
semiconductor sector","KUCHING (Aug 14): The Industry-Academic Cultivation Programme of High-Level 
Talents in Semiconductor Industry of the Industrial Development ...",Borneo Post Online,14 Aug 2021
"Tata group chairman stated that the Indian conglomerate is looking to enter 
semiconductor manufacturing industry as ...","While speaking at the annual general meeting of the IMC Chamber of Commerce 
and Industry, Tata Sons Chairman N Chandrasekaran said that in a ...",Swarajya,15 Aug 2021
Semiconductor shortage reaches a new and unwelcome landmark,"It can now take more than 20 weeks (20.2, to be exact) for an OEM such as 
Nvidia or AMD, to get their hardware, once they had been ordered ...",TechRadar,13 Aug 2021
Micron Stock Downgraded; Semiconductor Stocks Fall As Sentiment Turns,"Micron stock tumbled on Thursday after an investment bank forecast a 
cyclical downturn ahead for memory chips. Semiconductor stocks fell.",Investor's Business Daily,13 Aug 2021
Nvidia CEO Jensen Huang to receive semiconductor industry's top honor,"What just happened? The Semiconductor Industry Association (SIA) has 
announced that Huang is the 2021 recipient of the Robert N. Noyce Award ...",TechSpot,13 Aug 2021
Top Intel chip executive joins Tata firm as director,"Chipmakers such as Intel have set ambitious budgets to shore up output as 
firms across industries stare at chip shortages.",Mint,13 Aug 2021
"How to fix the semiconductor chip shortage (it's more than manufacturing) | 
TheHill","The summer auto-sales season is usually robust, so it is shocking to see 
auto plants that are idle because necessary semiconductor chips are ...",TheHill,16 Aug 2021
Semiconductor Manufacturing: Making Impossibly Small ...,"But making semiconductors is about more than how fine a pattern you can 
“print” with a litho machine. Inside one of these factories, or “fabs” ...",Forbes,13 Aug 2021
How Tata’s semiconductor foray could boost its other businesses,"Currently, the entire world is experiencing a shortage of chips and 
semiconductors that have become essential not only for new-age ...",The Indian Express,16 Aug 2021
Singapore plays catch-up with Taiwan as chip investments soar,"U.S. semiconductor giant GlobalFoundries will invest over $4 billion in its 
Singapore plant, increasing its capacity to about 1.5 million ...",Nikkei Asia,11 Aug 2021
Explained: Why is the Tata Group getting into semiconductor manufacturing?,"Why is Tata Group foraying into semiconductor manufacturing? Tata Sons 
Chairman N Chandrasekaran said recently: “At the group, we have already ...",The Indian Express,15 Aug 2021
Next Article BlackRock targets semiconductor boom with ETF ...,"The iShares MSCI Global Semiconductors UCITS ETF (SEMI) is the first 
vehicle of its kind offering ""truly global exposure"" to the sector, ...",Investment Week,09 Aug 2021
The United States is determined to dominate the ...,"The United States is determined to dominate the semiconductor tech war. 6 
August 2021. Author: June Park, George Washington University. The United 
States is ...",East Asia Forum,09 Aug 2021
1 Semiconductor Stock to Buy Right Now,"Global semiconductor shortages continue to cause backlogs in car ... steep 
discount to the iShares Semiconductor ETF despite strong growth, ...",The Motley Fool,13 Aug 2021
Biden looks to techno-alliances to chip in on semiconductors,"This strategy is quietly taking shape in Japan, South Korea and Taiwan, as 
US President Joe Biden sets out to rebuild the semiconductor ...",East Asia Forum,02 Aug 2021
Tata group is looking to enter semiconductor manufacturing: Chandrasekaran,"Why semiconductor? Huge market potential of $1 trillion; Tata Motors arm 
JLR making huge losses due to chip shortage; Shift in supply chains ...",Business Standard,10 Aug 2021
"Tata Sons to make semiconductors, leveraging opportunity arising out of 
global chip shortage","Semiconductor manufacturing involves building chipsets and other such 
metal-oxide-semiconductor devices used in integrated circuit chips like ...",Moneycontrol,11 Aug 2021
"After 5G equipment, Tata Group looking to enter semiconductor manufacturing","Mumbai: Tata Group is looking to make a foray into semiconductor 
manufacturing, Chairman N Chandrasekaran said on Monday.",Mint,10 Aug 2021
The chips are down: Why there's a semiconductor shortage,"Making semiconductors is a delicate process that involves pressing layers 
of chemicals into silicon AFP/JENS SCHLUETER.",CNA,02 Aug 2021
New study program for semiconductor industry,"In September, a new program will be launched: the Semiconductor Packaging 
University Program. This was the wish of both chip manufacturers ...",Innovation Origins,09 Aug 2021
