query,region,title,excerpt,date,source,link
semiconductor,united+states,How Asia came to dominate chipmaking and what the U.S. wants to do about it,"The two Asian firms combined control more than 70% of the semiconductor manufacturing market.
The U.S., which was once a leader, lags behind in this space after monumental shifts in the business models in the semiconductor industry.
In February, Biden signed an executive order which involves a review of the semiconductor supply chain to identify risks.
As part of a $2 trillion economic stimulus package, $50 billion was earmarked for semiconductor manufacturing and research.
The semiconductor supply shortage ""has probably made the U.S. administration realise they aren't in control of their own destiny,"" according to Mirabaud Securities' Campling",2021-4-11,CNBC,https://www.cnbc.com/2021/04/12/us-semiconductor-policy-looks-to-cut-out-china-secure-supply-chain.html
semiconductor,united+states,"Biden meets with CEOs on semiconductor shortage, says US must invest","President Joe Biden met virtually Monday with leading CEOs for a summit on the semiconductor shortage as he works to build support for his infrastructure bill.
""We led the world in the middle of the 20th century,"" Biden said.
""We led the world toward the end of the century, we're going to lead the world again.""
Policymakers are focused on building additional semiconductor capacity in the United States, but experts say there are limited remedies in the near-term.
Biden also pointed to the semiconductor shortage as he seeks to build a case for a $2 trillion infrastructure package",2021-4-13,Mint,https://www.livemint.com/companies/news/biden-meets-with-ceos-on-semiconductor-shortage-says-us-must-invest-11618273427256.html
semiconductor,united+states,Biden meets CEOs on semiconductor shortage; Intel pledges ...,"During the meeting, Biden said he has bipartisan support for legislation to fund the semiconductor industry.
Intel last month announced plans to vastly scale up chips manufacturing for outsiders as it builds new factories in the United States and Europe.
It was also attended by White House national security adviser Jake Sullivan, National Economic Council Director Brian Deese and Commerce Secretary Gina Raimondo.
White House Press Secretary Jen Psaki told reporters that no immediate decision or announcement on alleviating the chips shortage was likely to come from the meeting.
""Trying to address supply chains on a crisis-by-crisis basis creates critical national security vulnerabilities,"" national security adviser Sullivan said in a statement",2021-4-13,The Straits Times,https://www.straitstimes.com/world/united-states/biden-meets-with-ceos-on-semiconductor-shortage-intel-promises-help-for-hurting
semiconductor,united+states,"Biden To Order Review Of US Semiconductor, IT Supply Chains","President Joe Biden is expected to sign an executive order Wednesday calling for a supply chain review of semiconductors and IT technologies, the former of which is being done to address chip shortages that are impacting multiple industries.
The White House acknowledged an underinvestment in semiconductor production that has caused to manufacturing to shift overseas — a key issue highlighted by the U.S. semiconductor executives in their recent letter to Biden.
“The United States is the birthplace of this technology, and has always been a leader in semiconductor development,” the White House said.
Beyond the 100-day review, the executive order will call for a one-year review of a “broader set of U.S. supply chains” that includes information and communications technology and other key sectors such as the defense, energy and agriculture.
As part of this one-year review, federal agencies will be directed to review risks to these supply chains and identify key manufacturing locations, the availability of substitute materials, the state of workforce skills and the role of transportation in facilitating such supply chains",2021-2-24,CRN,https://www.crn.com/news/components-peripherals/biden-to-order-review-of-u-s-semiconductor-it-supply-chains
semiconductor,united+states,Biden to press for $37 billion to boost chip manufacturing amid shortfall,"WASHINGTON (Reuters) - President Joe Biden said on Wednesday he would seek $37 billion in funding for legislation to supercharge chip manufacturing in the United States as a shortfall of semiconductors has forced U.S. automakers and other manufacturers to cut production.
“I’m directing senior officials in my administration to work with industrial leaders to identify solutions to the semiconductor shortfall,” Biden said on Wednesday.
The chip industry has pressed the Biden administration and Congress to take action to fund the provisions of the law.
“We urge the president and Congress to invest ambitiously in domestic chip manufacturing and research,” the Semiconductor Industry Association (SIA) said earlier on Wednesday.
“I strongly urge Biden administration to prioritize protecting emerging and critical technologies, like semiconductors, from the grasp of the CCP (Chinese Communist Party),” McCaul said in a recent letter",2021-2-24,Reuters,https://www.reuters.com/article/us-usa-biden-supply-chains-idUSKBN2AO13D
semiconductor,united+states,Growing computer-chip shortage alarms Biden and Congress,"Morales said there are no short-term solutions to alleviate the shortages.
Countries such as South Korea and Taiwan saw massive government investment in chip manufacturing that took decades to build.
“Maybe we still have bleeding-edge R&D in the U.S.,” he said, referring to the consensus that U.S. research and development for semiconductors is unequaled in the world.
“But it’s going to take a while to catch up” on semiconductor manufacturing, he said",2021-2-23,The Washington Post,https://www.washingtonpost.com/technology/2021/02/23/biden-semiconductor-shortage-meeting/
semiconductor,united+states,"U.S. panel recommends export 'choke points' to prevent Chinese dominance in 
semiconductors","FILE PHOTO: U.S. President Joe Biden delivers holds a semiconductor chip as he speaks prior to signing an executive order, aimed at addressing a global semiconductor chip shortage, in the State Dining Room at the White House in Washington, U.S., February 24, 2021.
REUTERS/Jonathan Ernst(Reuters) - A U.S. national security commission on Monday recommended Congress tighten up “choke points” on chipmaking technology to prevent China from overtaking the United States in semiconductors in the coming years.
The report recommends that the United States coordinate with those countries to create a policy of “presumptive denial” in each country for export licenses of advanced chipmaking tools to China.
The report also recommends formalizing into U.S. policy a longstanding regulatory practice of limiting China’s semiconductor industry to two generations behind the United States.
1 ‘protect’ strategy is to run faster” than China’s chip industry, the NSCAI official said",2021-3-1,Reuters,https://www.reuters.com/article/us-usa-china-semiconductors-idUSKCN2AT39H
semiconductor,united+states,FACT SHEET: Biden-Harris Administration Announces Supply ...,"Secure an end-to-end domestic supply chain for advanced batteriesThe Department of Energy (DOE) will release a National Blueprint for Lithium Batteries.
LPO will leverage full statutory authority to finance key strategic areas of development and fill deficits in the domestic supply chain capacity.
14017 process, ensuring that investments that support supply chain resilience and uphold international standards of environmental and social performance.
To address these challenges, the Administration will:Establish a whole-of-government effort to monitor and address transitory supply chain challengesThe Administration will establish new Supply Chain Disruptions Task Force to provide a whole-of-government response to address near-term supply chain challenges to the economic recovery.
Establish a new Supply Chain Resilience Program: We recommend Congress enact a Supply Chain Resilience Program at DOC to create a focal point within the government to monitor and address supply chain challenges",2021-6-8,The White House,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/08/fact-sheet-biden-harris-administration-announces-supply-chain-disruptions-task-force-to-address-short-term-supply-chain-discontinuities/
semiconductor,united+states,Senate China Bill to Add $52 Billion for U.S. Chip Making,"Why did this happen?
Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading.
For more information you can review our Terms of Service and Cookie Policy",2021-5-18,Bloomberg.com,https://www.bloomberg.com/news/articles/2021-05-18/china-bill-to-include-52-billion-for-u-s-chip-manufacturing
semiconductor,united+states,"The U.S. must put the vital semiconductor industry above Wall Street's 
interests","Compounding these woes is a recent, global shortage of semiconductor chips.
Reliance on overseas semiconductor producers has put the United States in an especially precarious position.
Unfortunately, that won’t happen if America’s chip industry keeps focusing on quarterly profits rather than long-term stability.
Tax break won’t do itEven as America’s chip makers keep losing ground, however, they remain destructively preoccupied with shareholder return.
America’s semiconductor equipment makers and electronic design companies must be prevented from selling to entities tied to the Chinese military",2021-4-2,MarketWatch,https://www.marketwatch.com/story/the-u-s-must-put-the-vital-semiconductor-industry-above-wall-streets-interests-11617368220
