query,region,title,excerpt,date,source,link
semiconductor,us,How Asia came to dominate chipmaking and what the U.S. wants to do about it,"The two Asian firms combined control more than 70% of the semiconductor manufacturing market.
The U.S., which was once a leader, lags behind in this space after monumental shifts in the business models in the semiconductor industry.
In February, Biden signed an executive order which involves a review of the semiconductor supply chain to identify risks.
As part of a $2 trillion economic stimulus package, $50 billion was earmarked for semiconductor manufacturing and research.
The semiconductor supply shortage ""has probably made the U.S. administration realise they aren't in control of their own destiny,"" according to Mirabaud Securities' Campling",2021-4-11,CNBC,https://www.cnbc.com/2021/04/12/us-semiconductor-policy-looks-to-cut-out-china-secure-supply-chain.html
semiconductor,us,"US to lead world again, Biden tells CEOs at semiconductor ...","We led the world toward the end of the century, we're going to lead the world again,"" he continued at the virtual summit Monday.
In February, Biden signed an executive order mandating relevant agencies to identify immediate steps to address vulnerabilities in the semiconductor supply chain.
One key U.S. aim is to increase onshore manufacturing capacity, as the acute global chip shortage highlights the risks of overreliance on foundries in Asia.
""The share of global semiconductor manufacturing capacity in the U.S. has decreased from 37% in 1990 to 12% today.
The SIA represents 95% of the U.S. semiconductor industry, including chip heavyweights such as Intel, Micron, and GlobalFoundries",2021-4-13,Nikkei Asia,https://asia.nikkei.com/Business/Tech/Semiconductors/US-to-lead-world-again-Biden-tells-CEOs-at-semiconductor-summit
semiconductor,us,"Biden meets with CEOs on semiconductor shortage, says US must invest","President Joe Biden met virtually Monday with leading CEOs for a summit on the semiconductor shortage as he works to build support for his infrastructure bill.
""We led the world in the middle of the 20th century,"" Biden said.
""We led the world toward the end of the century, we're going to lead the world again.""
Policymakers are focused on building additional semiconductor capacity in the United States, but experts say there are limited remedies in the near-term.
Biden also pointed to the semiconductor shortage as he seeks to build a case for a $2 trillion infrastructure package",2021-4-13,Mint,https://www.livemint.com/companies/news/biden-meets-with-ceos-on-semiconductor-shortage-says-us-must-invest-11618273427256.html
semiconductor,us,"Biden To Order Review Of US Semiconductor, IT Supply Chains","President Joe Biden is expected to sign an executive order Wednesday calling for a supply chain review of semiconductors and IT technologies, the former of which is being done to address chip shortages that are impacting multiple industries.
The White House acknowledged an underinvestment in semiconductor production that has caused to manufacturing to shift overseas — a key issue highlighted by the U.S. semiconductor executives in their recent letter to Biden.
“The United States is the birthplace of this technology, and has always been a leader in semiconductor development,” the White House said.
Beyond the 100-day review, the executive order will call for a one-year review of a “broader set of U.S. supply chains” that includes information and communications technology and other key sectors such as the defense, energy and agriculture.
As part of this one-year review, federal agencies will be directed to review risks to these supply chains and identify key manufacturing locations, the availability of substitute materials, the state of workforce skills and the role of transportation in facilitating such supply chains",2021-2-24,CRN,https://www.crn.com/news/components-peripherals/biden-to-order-review-of-u-s-semiconductor-it-supply-chains
semiconductor,us,Biden signs executive order calling for semiconductor supply chain review,"President Biden signed an executive order Wednesday addressing growing concern over a global semiconductor shortage hampering the production of goods like automobiles and smartphones.
As more of daily life moved online, consumer electronics manufacturers saw an increase in demand for products like laptops.
Schumer said he’s looking to bring these items up for a floor vote in the Senate this spring.
“Right now, semiconductor manufacturing is a dangerous weak spot in our economy and in our national security, that has to change,” Schumer said on Wednesday.
Update February 24th, 4:50PM ET: This article has been updated to reflect that President Biden has signed the executive order",2021-2-24,The Verge,https://www.theverge.com/2021/2/24/22298376/biden-sign-semiconductor-shortage-executive-order-apple-amd-playstation
semiconductor,us,Growing computer-chip shortage alarms Biden and Congress,"Morales said there are no short-term solutions to alleviate the shortages.
Countries such as South Korea and Taiwan saw massive government investment in chip manufacturing that took decades to build.
“Maybe we still have bleeding-edge R&D in the U.S.,” he said, referring to the consensus that U.S. research and development for semiconductors is unequaled in the world.
“But it’s going to take a while to catch up” on semiconductor manufacturing, he said",2021-2-23,The Washington Post,https://www.washingtonpost.com/technology/2021/02/23/biden-semiconductor-shortage-meeting/
semiconductor,us,Arizona Becomes US Semiconductor Central," announced late last year, Arizona becomes the big winner in the focus 
of rebuilding state-of-the-art semiconductor manufacturing capability in 
the US",2021-3-23,Forbes,https://www.forbes.com/sites/tiriasresearch/2021/03/23/arizona-becomes-us-semiconductor-central/
semiconductor,us,"Biden’s Plan For American Semiconductor Manufacturing Needs To Allocate 
Funding Carefully","Biden's Plan For American Semiconductor Manufacturing Needs To Allocate 
Funding ... TX fabs are the leading non-captive fabs in the U.S. today, 
though Intel ",2021-4-1,Forbes,https://www.forbes.com/sites/willyshih/2021/04/01/bidens-plan-for-american-semiconductor-manufacturing-needs-to-allocate-funding-carefully/
semiconductor,us,Can The U.S. Compete For Chip Dominance?,"The Taiwan Semiconductor Manufacturing Company (TSMC) alone is ... which 
has long been a flash point for geopolitical tension between the U.S. and 
China",2021-08-26,Forbes,https://www.forbes.com/sites/randybrown/2021/07/14/can-the-us-compete-for-chip-dominance/
semiconductor,us,Tech coalition pushes Congress to fund US semiconductor ...,"Pittsburgh — The Semiconductors in America Coalition pressed Congress May 11 to include significant funding for US semiconductor manufacturing in the upcoming budget legislation to avoid future shortages of the critical computer chips.
""Manufacturing incentives funded by Congress should focus on filling key gaps in our domestic semiconductor ecosystem and cover the full range of semiconductor technologies.""
The CHIPS Act authorizes federal incentives to promote semiconductor manufacturing and federal investments in semiconductor research.
The US' global share of semiconductor manufacturing has declined from 37% in 1990 to 12% currently, as federal investment in the sector has remained flat for decades, SIAC added.
Impact of shortage on automotiveThe current shortage of semiconductors disrupted supply chains and production in several global industries",2021-5-11,S&amp;P Global,https://www.spglobal.com/platts/en/market-insights/latest-news/metals/051121-tech-coalition-pushes-congress-to-fund-us-semiconductor-production
semiconductor,us,The World Is Dangerously Dependent on Taiwan for ...,"Why did this happen?
Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading.
For more information you can review our Terms of Service and Cookie Policy",2021-1-25,Bloomberg.com,https://www.bloomberg.com/news/features/2021-01-25/the-world-is-dangerously-dependent-on-taiwan-for-semiconductors
semiconductor,us,Taiwan asks TSMC and other chipmakers to help ease global ...,"TAIPEI -- Taiwan's Economic Ministry is asking domestic chip manufacturers such as Taiwan Semiconductor Manufacturing Co. to help ""like-minded"" economies alleviate the global shortage of automotive-related chips.
These companies supply global automobile chip developers such as NXP, Infineon, Renesas Electronics and STMicroelectronics.
""In the near term, as demand from the automotive supply chain is rebounding, the shortage in automotive supply has become more obvious,"" C.C.
The global chip shortage has pushed governments to step in to help carmakers.
Peter Altmaier, Germany's federal minister for economic affairs and energy, wrote a letter to the Taiwanese government asking for help solving the chip supply problem, Bloomberg reported",2021-1-24,Nikkei Asia,https://asia.nikkei.com/Business/Tech/Semiconductors/Taiwan-asks-TSMC-and-other-chipmakers-to-help-ease-global-crunch
semiconductor,us,Exclusive: Taiwan ministry says TSMC will prioritise auto chips if possible,"TAIPEI (Reuters) - Taiwan Semiconductor Manufacturing Co Ltd (TSMC) will prioritise production of auto chips if it is able to further increase capacity, Taiwan’s Economics Ministry told Reuters, amid a global shortage that has hampered car production.
REUTERS/Ann WangA ministry official said Minister Wang Mei-hua spoke to senior company executives on Sunday about the issue.
TSMC had told the ministry it will “optimise” the production process of chips to make it more efficient and prioritise auto chip production if it is able to further increase capacity, the ministry said.
In 2020, auto chips accounted only for 3% of TSMC’s sales, lagging smartphones’ 48% and 33% for high performance chips.
In the fourth quarter, sales for TSMC’s auto chips jumped 27% from the previous quarter, but still only accounted for 3% of overall sales in the quarter",2021-1-24,Reuters,https://www.reuters.com/article/us-taiwan-autos-chips-exclusive-idUSKBN29U091
semiconductor,us,"U.S. chipmaker invests $4 billion in Singapore, even as Congress tries to 
lure manufacturers home","States are running out of ICU beds.
See where COVID cases are rising the fastest",2021-6-22,Fortune,https://fortune.com/2021/06/23/global-foundries-singapore-investment-global-chip-shortage-semiconductor-shortage/
semiconductor,us,U.S. chip foundry announces new manufacturing plant in Singapore,"Michaela Rehle | ReutersSINGAPORE — U.S.-headquartered semiconductor manufacturer GlobalFoundries announced Tuesday that it will build a new fabrication plant in Singapore to meet the unprecedented global demand for chips.
The new facility will be developed in partnership with the Singapore Economic Development Board and with co-investments from committed customers, GlobalFoundries said.
A global shortage of semiconductor microchips is causing havoc, delaying car production and affecting operations at some of the largest consumer electronics manufacturers.
A virtual groundbreaking ceremony for the plant was attended by Singapore's Transport Minister S Iswaran as well as Mubadala Investment Company Managing Director and Group CEO Khaldoon Khalifa Al Mubarak, among others.
Mubadala, a United Arab Emirates state investment company, owns GlobalFoundries",2021-6-22,CNBC,https://www.cnbc.com/2021/06/22/globalfoundries-announces-new-singapore-plant.html
semiconductor,us,GlobalFoundries puts $4bn into Singapore expansion,"SINGAPORE -- U.S. semiconductor giant GlobalFoundries will invest over $4 billion to expand its Singapore wafer plant and ramp up capacity as it attempts to tackle the global microchip shortage.
When fully operational by 2024, the expansion is expected to boost GlobalFoundries' capacity to about 1.5 million wafers per year.
Given that GlobalFoundries' manufacturing activities are spread across Asia, Europe and North America, the CEO said his company's worldwide footprint provides ""supply chain security balance.""
Amid the global semiconductor shortage, GlobalFoundries projects that supply could lag behind demand until 2022 or later, with the rapidly increasing clamor for chips ""accelerated immensely"" by COVID.
GlobalFoundries CEO Caulfield said the lion's share of investment will come out of the company's pockets",2021-6-22,Nikkei Asia,https://asia.nikkei.com/Business/Tech/Semiconductors/GlobalFoundries-puts-4bn-into-Singapore-expansion
semiconductor,us,Senate China Bill to Add $52 Billion for U.S. Chip Making,"Why did this happen?
Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading.
For more information you can review our Terms of Service and Cookie Policy",2021-5-18,Bloomberg.com,https://www.bloomberg.com/news/articles/2021-05-18/china-bill-to-include-52-billion-for-u-s-chip-manufacturing
semiconductor,us,US steps up talks with Taiwan to secure chip supply chain,"Washington wants to bring critical parts of the chip supply chain onto its own soil.
The AIT confirmed the meeting in a Facebook post highlighting Taiwan’s role in secure supply chains.
Washington has been urging a reshaping of global supply chains amid the ongoing tech war with Beijing and the global coronavirus pandemic.
Taiwan is playing an important role in supporting the U.S. campaign given the democratic-ruled island's advanced tech supply chains.
The AIT hosted its first public forum on supply chain restructuring in Taipei in September last year, together with EU, Canadian, and Japanese counterparts, to publicly advocate decoupling from China",2021-2-25,Nikkei Asia,https://asia.nikkei.com/Business/Tech/Semiconductors/US-steps-up-talks-with-Taiwan-to-secure-chip-supply-chain
semiconductor,us,U.S. chip industry calls on Biden administration to fund factories,"The missing chips are mostly manufactured in countries such as Taiwan and Korea, which have come to dominate the industry.
The letter, sent by the Semiconductor Industry Association, said that the U.S. share of semiconductor manufacturing dropped from 37% in 1990 to 12% today.
Congress last year authorized subsidies for chip manufacturing and semiconductor research, but lawmakers must still decide how much funding to provide.
The U.S. chip group urged Biden to provide such funding in the form of grants or tax credits.
“Working with Congress, your administration now has an historic opportunity to fund these initiatives to make them a reality,” the chip group wrote",2021-2-11,Reuters,https://www.reuters.com/article/us-usa-semiconductors-idUSKBN2AB11H
semiconductor,us,"US, China to set up working group to ease tension in global chips industry","Engineers work at Xinguan Technology, a semiconductor high-tech enterprise in Dalian on April 1, 2019.
Photo: Xinhua",2021-3-11,South China Morning Post,https://www.scmp.com/tech/tech-war/article/3124962/us-and-china-set-working-group-semiconductor-restrictions-ease-export
