title,excerpt,source,date,query,start_period,end_period,region
"Taiwan Semiconductor Boosted Its Capex Budget. Analysts Say That’s Good 
News for Chip Stocks.","Taiwan Semiconductor (TSM) posted fourth-quarter revenue of $10.39 billion, 
up 10.6% both from a year ago and from the third quarter, but slightly 
below the ...",Barron's,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
TSMC's Strong Earnings Emphasizes Semiconductor Trends,"Taiwan Semiconductor Manufacturing Company aka TSMC TSM, kicked off 
earnings for chip makers on a positive note this morning. TSMC is the 
largest semiconductor ...",Yahoo Finance,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Chipmaker TSMC says ready for potential new US export controls,"Taiwan Semiconductor Manufacturing, the world's largest contract chipmaker, 
said it was ready to deal with potential new US export controls, which 
it ...",Financial Times,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Lithium-based semiconductor detects thermal neutrons,"A new semiconductor made from lithium, indium, phosphorus, and selenium 
could lead the way to hand-held, portable, sensitive neutron detectors 
(Nature 2020, ...",C&EN,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Exclusive: Washington pressures TSMC to make chips in US,"TAIPEI -- Washington has upped the pressure on Taiwan Semiconductor 
Manufacturing Co. to produce its military-use chips in the U.S., in order 
to ensure that ...",Nikkei Asia,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Global semiconductor market takes a hit,"The global semiconductor industry experienced a double-digit decline in 
revenue during 2019, as weak performance in the memory market affected many 
of the ...",Mobile World Live,14 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
South Korea no rival to Taiwan in semiconductor industry ...,"TAIPEI (Taiwan News) — South Korea can hardly compete with Taiwan in 
semiconductor manufacturing despite the ambitious move by Samsung 
Electronics to put a ...",Taiwan News,21 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"New Semiconductor Technologies Driving Down Cost Of Electric Vehicle 
Batteries","Gallium nitride (GaN) and silicon carbide (SiC) are two semiconductor 
technologies in the driver's seat to change all that. Electric Car Battery 
Box. Close-up ...",Forbes,8 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Intel retook semiconductor top spot from Samsung in 2019,"Worldwide revenue for semiconductors, however, was only around $418 billion 
-- a decline of 12% from 2018, it said. Intel was top in 2019 revenue at 
around ...",ZDNet,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
ON Semiconductor and Pony.ai Collaboration on Next-Gen ...,"06, 2020 (GLOBE NEWSWIRE) -- ON Semiconductor (Nasdaq: ON), driving energy 
efficient innovations, and Pony.ai, a leading autonomous driving 
technology ...",GlobeNewswire,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
AKHAN Semiconductor Issued Major Patent in United States,"CHICAGO--(BUSINESS WIRE)--AKHAN Semiconductor, a technology company 
specializing in the fabrication and application of lab-grown, 
electronic-grade diamonds, ...",Business Wire,30 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
GOWIN Semiconductor Takes Leadership Position in Always-On,"SAN JOSE, Calif. and GUANGZHOU, China, Jan. 06, 2020 (GLOBE NEWSWIRE) -- 
GOWIN Semiconductor Corp., the world's fastest-growing programmable logic 
company, ...",GlobeNewswire,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Trump’s China Deal Creates Collateral Damage for Tech Firms,"Trump set out to protect. “Let's be clear, the trade war has been very bad 
for the semiconductor industry in several ways,” said Robert D. Atkinson, 
president ...",The New York Times,20 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Lattice Semiconductor Showcases Low Power FPGA-based AI ...,"Lattice Semiconductor Showcases Low Power FPGA-based AI/ML Solutions at 
tinyML Summit. January 29, 2020 04:00 PM Eastern Standard Time. HILLSBORO, 
Ore.--( ...",Business Wire,29 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
SOS LAB Signs a LiDAR Collaboration MOU with ON ...,"ON Semiconductor is the leading provider of intelligent sensing solutions 
for automotive and autonomous perception, with advanced technology 
targeting all ...",Business Wire,9 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Texas Instruments to close two Dallas-area factories in the next three to 
five years","The semiconductor maker plans to gradually shut down the manufacturing 
facilities in Dallas and Sherman. It said the closures will be completed 
between 2023 and ...",Dallas Morning News,22 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
A structurally unstable semiconductor stabilized and ...,"Semiconductors in modern electronic devices are most commonly used as thin 
films, and the maximum sustainable strain of a film is less than a few per 
cent.",Nature,8 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
An electrically pumped surface-emitting semiconductor green ...,"Surface-emitting semiconductor lasers have been widely used in data 
communications, sensing, and recently in Face ID and augmented reality 
glasses.",Science Advances,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
BES completes $10m semiconductor facility for CSA Catapult,"Boulting Environmental Services has completed an £8.1 million ($10.5m) 
design and build project to deliver Compound Semiconductor Applications 
(CSA) ...",Cleanroom Technology,20 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
